Site ID,Name,Principal Investigator,Data Use Policy,AmeriFlux BASE Data,AmeriFlux FLUXNET Data,Vegetation Abbreviation (IGBP),Vegetation Description (IGBP),Climate Class Abbreviation (Koeppen),Climate Class Description (Koeppen),Mean Average Precipitation (mm),Mean Average Temperature (degrees C),Country,Latitude (degrees),Longitude (degrees),Elevation (m),Years of AmeriFlux BASE Data,AmeriFlux BASE DOI,Years of AmeriFlux FLUXNET Data,AmeriFlux FLUXNET DOI,Site Start,Site End,BASE variables available,FLUXNET variables available,geometry,koppen_color_id,#_yr_data,circle_size,filename
US-ONA,Florida pine flatwoods,Maria Silveira (mlas@ufl.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1268.0,22.3,USA,27.3836,-81.9509,25.0,"2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1660350,"2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1832163,2016,,"CH4, CO2, CO2_SIGMA, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, P_RAIN, RH, SC, SCH4, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL",,POINT (-81.9509 27.3836),14,6.0,5,AMF_US-ONA_FLUXNET_FULLSET_HH_2015-2020_3-5.csv
US-LS2,San Pedro River Lewis Springs Savanna,Russell Scott (russ.scott@ars.usda.gov),CC-BY-4.0,Yes,Yes,SAV,"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters.",Bwh,Desert: warm winter,288.0,17.0,USA,31.5659,-110.1344,1240.0,"2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/1660347,"2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/2204870,2003,2007.0,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SWC, SW_IN, TA, TS, T_SONIC, USTAR, WD, WS",,POINT (-110.1344 31.5659),4,6.0,5,AMF_US-LS2_FLUXNET_FULLSET_HH_2002-2007_3-5.csv
US-Tw3,Twitchell Alfalfa,Dennis Baldocchi (baldocchi@berkeley.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Csa,"Mediterranean: mild with dry, hot summer",421.0,15.6,USA,38.1152,-121.6469,-4.0,"2013, 2014, 2015, 2016, 2017, 2018",https://doi.org/10.17190/AMF/1246149,"2013, 2014, 2015, 2016, 2017, 2018",https://doi.org/10.17190/AMF/1881594,2013,2018.0,"CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, G, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,POINT (-121.6469 38.1152),8,6.0,5,AMF_US-Tw3_FLUXNET_FULLSET_HH_2013-2018_3-5.csv
US-Fmf,Flagstaff - Managed Forest,Thomas Kolb (tom.kolb@nau.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",546.0,9.5,USA,35.1426,-111.7273,2160.0,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246050,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2007173,2006,2010.0,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-111.7273 35.1426),9,6.0,5,AMF_US-Fmf_FLUXNET_FULLSET_HH_2005-2010_3-5.csv
CA-TPD,Ontario - Turkey Point Mature Deciduous,M. Altaf Arain (arainm@mcmaster.ca),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1036.0,8.0,Canada,42.6353,-80.5577,260.0,"2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1246152,"2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1881567,2012,,"CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",,POINT (-80.5577 42.6353),26,6.0,5,AMF_CA-TPD_FLUXNET_FULLSET_HH_2012-2017_3-5.csv
US-Fuf,Flagstaff - Unmanaged Forest,Thomas Kolb (tom.kolb@nau.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",562.0,8.7,USA,35.089,-111.762,2180.0,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246051,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2007174,2006,2010.0,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-111.762 35.089),9,6.0,5,AMF_US-Fuf_FLUXNET_FULLSET_HH_2005-2010_3-5.csv
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",Brian Amiro (Brian_Amiro@umanitoba.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",470.0,0.4,Canada,54.2539,-105.8775,520.0,"2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/1246007,"2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/2006961,2001,2005.0,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-105.8775 54.2539),27,6.0,5,AMF_CA-SF2_FLUXNET_FULLSET_HH_2001-2006_3-5.csv
US-xCP,NEON Central Plains Experimental Range (CPER),National Ecological Observatory Network (neon-ameriflux@battelleecology.org),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Bsk,Steppe: warm winter,320.0,8.6,USA,40.8155,-104.7456,1654.0,"2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1579720,"2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1985436,2016,,"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, WS_MAX",,POINT (-104.7456 40.8155),7,6.0,5,AMF_US-xCP_FLUXNET_FULLSET_HH_2016-2021_3-5.csv
US-Bi1,Bouldin Island Alfalfa,Dennis Baldocchi (Baldocchi@berkeley.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Csa,"Mediterranean: mild with dry, hot summer",338.0,16.0,USA,38.0992,-121.4993,-2.7,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1480317,"2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1871134,2016,,"CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, G, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NDVI, NETRAD, P, PA, PPFD_IN, PPFD_OUT, PRI, RECO, RH, SPEC_NIR_IN, SPEC_NIR_OUT, SPEC_PRI_REF_IN, SPEC_PRI_REF_OUT, SPEC_PRI_TGT_IN, SPEC_PRI_TGT_OUT, SPEC_RED_IN, SPEC_RED_OUT, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,POINT (-121.4993 38.0992),8,6.0,5,AMF_US-Bi1_FLUXNET_FULLSET_HH_2016-2021_3-5.csv
CA-ER1,Elora Research Station,Claudia Wagner-Riddle (cwagnerr@uoguelph.ca),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,946.0,6.7,Canada,43.6405,-80.4123,370.0,"2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1579541,"2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1832154,2015,,"CO2, CO2_SIGMA, FC, H, H2O, H2O_SIGMA, LE, MO_LENGTH, PA, RH, SW_IN, TA, TAU, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL",,POINT (-80.4123 43.6405),26,6.0,5,AMF_CA-ER1_FLUXNET_FULLSET_HH_2015-2020_3-5.csv
MX-Tes,"Tesopaco, secondary tropical dry forest",Jaime Garatuza (garatuza@itson.edu.mx),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Bsh,Steppe: very cold winter,647.0,24.3,Mexico,27.8446,-109.2977,460.0,"2004, 2005, 2006, 2007, 2008",https://doi.org/10.17190/AMF/1767832,"2004, 2005, 2006, 2007, 2008, 2009",https://doi.org/10.17190/AMF/1832156,2004,2008.0,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, PA, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, T_SONIC, USTAR, VPD, WD, WS",,POINT (-109.2977 27.8446),6,6.0,5,AMF_MX-Tes_FLUXNET_FULLSET_HH_2004-2009_3-5.csv
CA-NS1,UCI-1850 burn site,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",500.29,-2.89,Canada,55.8792,-98.4839,260.0,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1245998,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1902824,2002,2005.0,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-98.48390000000001 55.8792),27,5.0,5,AMF_CA-NS1_FLUXNET_FULLSET_HH_2001-2005_3-5.csv
US-xSR,NEON Santa Rita Experimental Range (SRER),National Ecological Observatory Network (neon-ameriflux@battelleecology.org),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,Steppe: warm winter,346.0,19.3,USA,31.9107,-110.8355,983.0,"2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1579543,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1985453,2017,,"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, T_CANOPY, THROUGHFALL, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, WS_MAX",,POINT (-110.8355 31.9107),7,5.0,5,AMF_US-xSR_FLUXNET_FULLSET_HH_2017-2021_3-5.csv
CA-NS7,UCI-1998 burn site,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Dfc,"Subarctic: severe winter, no dry season, cool summer",483.27,-3.52,Canada,56.6358,-99.9483,297.0,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1246004,"2001, 2002, 2003, 2004, 2005",https://doi.org/,2002,2005.0,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-99.9483 56.6358),27,5.0,5,AMF_CA-NS7_FLUXNET_FULLSET_HH_2001-2005_3-5.csv
CA-NS6,UCI-1989 burn site,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Dfc,"Subarctic: severe winter, no dry season, cool summer",495.37,-3.08,Canada,55.9167,-98.9644,244.0,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1246003,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1902829,2001,2005.0,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-98.9644 55.9167),27,5.0,5,AMF_CA-NS6_FLUXNET_FULLSET_HH_2001-2005_3-5.csv
CA-NS5,UCI-1981 burn site,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",500.34,-2.86,Canada,55.8631,-98.485,260.0,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1246002,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1902828,2001,2005.0,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-98.485 55.8631),27,5.0,5,AMF_CA-NS5_FLUXNET_FULLSET_HH_2001-2005_3-5.csv
CA-NS4,UCI-1964 burn site wet,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",502.22,-2.87,Canada,55.9144,-98.3806,260.0,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1246001,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1902827,2002,2004.0,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-98.3806 55.9144),27,5.0,5,AMF_CA-NS4_FLUXNET_FULLSET_HH_2001-2005_3-5.csv
CA-NS3,UCI-1964 burn site,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",502.22,-2.87,Canada,55.9117,-98.3822,260.0,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1246000,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1902826,2001,2005.0,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-98.3822 55.9117),27,5.0,5,AMF_CA-NS3_FLUXNET_FULLSET_HH_2001-2005_3-5.csv
CA-NS2,UCI-1930 burn site,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",499.82,-2.88,Canada,55.9058,-98.5247,260.0,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1245999,"2001, 2002, 2003, 2004, 2005",https://doi.org/10.17190/AMF/1902825,2001,2005.0,"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-98.5247 55.9058),27,5.0,5,AMF_CA-NS2_FLUXNET_FULLSET_HH_2001-2005_3-5.csv
US-xSB,NEON Ordway-Swisher Biological Station (OSBS),National Ecological Observatory Network (neon-ameriflux@battelleecology.org),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1302.09,20.9,USA,29.6893,-81.9934,45.0,"2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1671899,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1985451,2016,,"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, T_CANOPY, THROUGHFALL, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, WS_MAX",,POINT (-81.99339999999999 29.6893),14,5.0,5,AMF_US-xSB_FLUXNET_FULLSET_HH_2017-2021_3-5.csv
US-xST,NEON Steigerwaldt Land Services (STEI),National Ecological Observatory Network (neon-ameriflux@battelleecology.org),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,797.56,4.8,USA,45.5089,-89.5864,481.0,"2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1617737,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1985454,2017,,"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, T_CANOPY, THROUGHFALL, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, WS_MAX",,POINT (-89.5864 45.5089),26,5.0,5,AMF_US-xST_FLUXNET_FULLSET_HH_2017-2021_3-5.csv
US-xTR,NEON Treehaven (TREE),National Ecological Observatory Network (neon-ameriflux@battelleecology.org),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,797.56,4.8,USA,45.4937,-89.5857,472.0,"2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1634886,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1985456,2017,,"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, T_CANOPY, THROUGHFALL, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, WS_MAX",,POINT (-89.5857 45.4937),26,5.0,5,AMF_US-xTR_FLUXNET_FULLSET_HH_2017-2021_3-5.csv
US-Ro6,Rosemount I18_North,Timothy Griffis (tgriffis@umn.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",879.0,6.4,USA,44.6946,-93.0578,282.0,"2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1419509,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881590,2017,,"ALB, CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, USTAR, VPD, WD, WS, ZL",,POINT (-93.0578 44.6946),25,5.0,5,AMF_US-Ro6_FLUXNET_FULLSET_HH_2017-2021_3-5.csv
US-xUK,NEON The University of Kansas Field Station (UKFS),National Ecological Observatory Network (neon-ameriflux@battelleecology.org),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",990.63,12.7,USA,39.0404,-95.1921,335.0,"2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1617740,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1985457,2017,,"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, T_CANOPY, THROUGHFALL, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, WS_MAX",,POINT (-95.1921 39.0404),14,5.0,5,AMF_US-xUK_FLUXNET_FULLSET_HH_2017-2021_3-5.csv
US-Rwe,RCEW Reynolds Mountain East,Michele L. Reba (michele.reba@usda.gov),CC-BY-4.0,Yes,Yes,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Bsh,Steppe: very cold winter,800.0,5.4,USA,43.0653,-116.7591,2098.0,"2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/1617721,"2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/1871143,2003,2007.0,"CO2, D_SNOW, FC, FETCH_70, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, RH, SC, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",,POINT (-116.7591 43.0653),6,5.0,5,AMF_US-Rwe_FLUXNET_FULLSET_HH_2003-2007_3-5.csv
US-xUN,NEON University of Notre Dame Environmental Research Center (UNDE),National Ecological Observatory Network (neon-ameriflux@battelleecology.org),CC-BY-4.0,Yes,Yes,MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,802.3,4.3,USA,46.2339,-89.5373,518.0,"2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1617741,"2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1985458,2017,,"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, T_CANOPY, THROUGHFALL, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, WS_MAX",,POINT (-89.5373 46.2339),26,5.0,5,AMF_US-xUN_FLUXNET_FULLSET_HH_2017-2021_3-5.csv
